HDI rank,Country,Human Development Index HDI Value 2023,Life expectancy at birth years 2023,Expected years of schooling years 2023,Mean years of schooling years 2023,a 1,Gross national income GNI per capita 2021 PPP 2023,GNI per capita rank minus HDI rank2023,HDI rank2022
1,Iceland,0.972,82.691,18.85058975,13.908926280000001,NA,69116.93735999998,12,3
2,Norway,0.97,83.30799999999999,18.79285049,13.11796218,NA,112710.02110000001,0,1
2,Switzerland,0.97,83.954,16.66753006,13.949121089999998,NA,81948.90177,5,2
4,Denmark,0.962,81.933,18.70401001,13.0273206,NA,76007.85669,4,4
5,Germany,0.9590000000000001,81.37799999999999,17.30921936,14.296371629999998,NA,64053.22124,13,6
5,Sweden,0.9590000000000001,83.262,18.991470339999996,12.740325739999998,NA,66102.08595,10,4
8,Netherlands,0.9550000000000001,82.15799999999999,18.584850310000004,12.669946890000002,NA,68344.30826,6,7
10,Belgium,0.9510000000000001,82.115,18.996030809999997,12.68965045,NA,63582.47535,9,13
11,Ireland,0.949,82.412,19.1848793,11.72499956,NA,90884.63459,-6,10
12,Finland,0.948,81.91000000000001,19.49408913,12.97962547,NA,57067.63693,10,11
17,Liechtenstein,0.938,83.63,15.412579540000003,12.40995938,NA,166811.6741,-16,15
17,New Zealand,0.938,82.088,19.300050740000003,12.882998070000001,NA,47259.60137,17,17
20,Korea (Republic of),0.9370000000000002,84.32899999999998,16.618640899999995,12.72219869,NA,49726.453270000005,11,19
21,Slovenia,0.931,81.60299999999998,17.47717094,12.95120192,NA,46360.80779,15,21
22,Austria,0.93,81.956,16.28428078,12.36146506,NA,63479.20843,-2,20
23,Japan,0.925,84.712,15.51198006,12.684046710000002,NA,47774.60973,10,23
24,Malta,0.924,83.299,15.90985012,12.4207021,NA,52155.074870000004,5,26
25,Luxembourg,0.922,82.229,14.357950210000002,12.589371949999999,NA,85461.24832999999,-19,22
26,France,0.92,83.32499999999999,16.095119479999997,11.7656677,NA,55060.160379999994,-2,27
27,Israel,0.919,82.408,14.93416023,13.534594740000001,NA,48050.11175999999,5,23
28,Spain,0.918,83.66999999999999,17.83031082,10.75612495,NA,46008.44221000001,9,28
29,Czechia,0.915,79.834,16.7935009,12.963182140000002,NA,45889.014010000006,9,28
29,Italy,0.915,83.716,16.71419907,10.82812827,NA,52388.88306,-1,32
32,Cyprus,0.913,81.648,16.215599059999995,12.557372099999998,NA,45394.15625000001,7,31
34,Greece,0.908,81.857,20.84550095,11.553856420000002,NA,35760.749149999996,17,36
35,Poland,0.906,78.63299999999998,16.67827988,13.20854242,NA,42217.63778,5,33
36,Estonia,0.905,79.15299999999999,15.96786022,13.562165970000002,NA,40880.930440000004,8,33
37,Saudi Arabia,0.9,78.73200000000001,16.949430469999996,11.60642778,NA,50298.91363,-7,37
39,Lithuania,0.895,76.02499999999999,16.45467949,13.610692390000002,NA,41916.465789999995,2,39
40,Portugal,0.89,82.36,17.48682021999999,9.703254412,NA,41063.92567999999,3,41
41,Croatia,0.889,78.58,16.34815025,12.095121699999998,NA,41379.89027000001,1,40
